,location_1,location_2,location_3,location_4,location_5
1976-04-27,78.5,59.7,44.7,16.2,63.5
1976-05-10,65.1,60.7,61.6,15.0,65.8
1976-05-18,72.9,67.0,68.6,23.8,64.3
1976-05-25,76.0,70.3,67.6,21.8,44.5
1976-06-02,83.4,79.5,79.8,24.5,57.1
1976-06-16,67.7,71.6,67.5,29.1,57.5
1976-06-18,74.5,63.1,57.4,24.6,44.2
1976-06-23,78.2,64.0,60.3,23.0,36.3
1976-06-28,79.2,65.4,65.9,24.7,36.5
1976-07-19,79.5,67.0,69.6,29.7,51.4
1976-08-05,78.8,64.6,65.1,29.5,46.7
1976-08-25,79.5,65.0,72.3,17.5,41.5
1976-09-23,79.4,76.7,67.8,15.6,37.8
1976-10-22,94.3,72.4,81.1,12.3,39.3
1976-11-17,99.1,83.2,90.4,14.4,39.7
1976-12-04,100.2,77.1,90.5,12.9,39.9
1977-01-14,98.7,80.6,87.9,17.4,41.8
1977-02-01,101.7,81.5,92.5,22.2,47.6
1977-02-16,116.0,84.6,87.4,25.5,46.2
1977-03-08,97.3,81.8,76.4,18.7,43.9
1977-03-21,96.6,80.6,79.2,25.9,51.4
1977-03-29,95.1,83.1,83.1,28.6,56.3
1977-04-05,105.2,87.9,90.3,29.0,68.0
1977-05-26,86.6,72.6,86.3,20.2,38.0
1977-06-17,85.3,70.6,75.8,21.5,48.3
1977-07-08,90.0,72.8,80.1,19.9,46.5
1977-07-15,91.2,69.3,84.5,31.2,52.0
1977-07-29,92.7,90.8,95.9,29.7,51.3
1977-08-10,97.0,95.9,106.4,28.2,52.5
1977-09-07,102.8,95.5,96.1,27.5,51.1
1977-09-22,111.8,95.9,96.3,20.8,43.8
1977-10-20,117.8,113.1,113.8,30.7,48.9
1977-11-25,123.9,98.4,110.3,21.1,48.6
1978-01-14,103.4,93.2,84.4,23.8,46.2
1978-02-12,104.7,83.3,74.9,25.0,42.3
1978-03-14,112.3,93.3,94.4,36.0,56.7
1978-04-08,83.1,68.8,62.2,22.4,57.7
